1,2,3,4,5
78.281,98.435,40.063,89.685,48.447
33.512,28.247,80.903,67.247,46.01
81.086,77.756,89.975,56.534,36.67
66.496,57.749,50.203,74.946,22.873
66.685,43.05,58.814,59.29,48.591
56.666,20.108,19.802,95.985,31.583
23.411,24.758,96.577,81.084,36.937
54.026,42.135,74.66,70.698,30.174
71.401,36.358,38.372,93.323,35.182
85.583,38.705,69.48,84.975,33.772
17.63,61.622,-2.986,69.746,42.01
93.581,57.488,15.038,80.988,22.043
3.089,38.51,22.632,82.586,45.859
63.379,23.363,52.398,59.174,31.07
33.023,94.577,-4.941,67.977,38.693
69.167,56.763,45.176,96.004,21.608
99.69,32.501,8.548,62.866,21.4
90.443,70.908,94.508,88.84,37.734
18.924,28.359,-1.141,67.122,35.828
23.009,45.752,5.786,52.562,20.216
83.202,37.004,-4.173,97.084,28.974
22.921,56.497,-7.955,62.625,35.858
39.218,98.321,71.002,72.155,24.306
61.694,25.875,66.723,69.488,47.549
45.752,98.965,95.973,55.076,40.393
78.893,77.094,23.926,75.512,34.442
25.748,26.329,65.747,73.185,41.146
45.819,58.964,13.811,82.556,49.463
44.624,22.684,67.088,53.308,45.649
96.923,65.794,61.594,51.481,24.027
75.794,20.261,42.913,66.408,25.604
74.129,52.174,2.919,54.694,27.466
71.185,69.079,33.907,53.479,38.33
67.489,44.409,77.065,90.662,20.031
87.502,28.862,47.703,83.269,31.346
74.182,49.303,33.3,58.52,33.047
33.73,44.718,-3.088,99.657,20.43
90.696,73.21,-7.631,97.984,22.985
42.044,76.948,90.199,68.395,33.055
11.651,66.754,63.941,61.313,32.233
35.209,85.316,6.758,52.662,38.23
90.364,38.597,90.233,98.702,35.146
78.978,88.458,76.917,96.55,48.044
22.281,88.862,7.069,90.685,30.714
91.366,45.294,-0.304,87.023,34.356
75.257,93.918,-12.111,75.468,36.001
4.106,80.901,0.155,98.48,27.87
91.715,89.146,26.077,95.921,44.578
19.941,80.82,86.514,81.314,40.884
50.273,47.016,65.352,58.817,35.639
